code,name,symbol,type,digitsAfterDecimal,currencySymbolPosition,baseCurrency,creationDate,lastModifiedDate
AED,United Arab Emirates dirham,Dh,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2021-01-28T11:09:21Z,2021-01-28T11:09:21Z
ALL,Albanian lek,Lek,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-20T21:15:44Z,2022-11-20T21:15:44Z
AOA,Angolan kwanza,Kz,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2021-06-29T15:46:10+01:00,2021-06-29T15:46:10+01:00
AUD,Australian dollar,$,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-18T14:42:39Z,2022-11-18T14:42:39Z
BBD,Barbados dollar test,$,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-19T20:59:23Z,2022-11-19T20:59:41Z
BRL,Brazilian real,R$,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-14T16:45:42Z,2022-11-14T16:45:42Z
CNY,Chinese yuan,¥,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-19T16:28:56Z,2022-11-19T16:28:56Z
EGP,Egyptian pound,£,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-20T17:40:13Z,2022-11-20T17:40:13Z
ERN,Eritrean nakfa,Nfk,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2021-02-09T16:59:36Z,2021-02-09T16:59:36Z
EUR,Euro,€,FIAT_CURRENCY,2,BEFORE_NUMBER,True,2020-05-08T15:34:51+01:00,2022-05-06T09:47:39+01:00
GBP,Pound sterling,£,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2021-01-18T14:49:32Z,2021-01-18T14:49:32Z
HUF,Hungarian forint,Ft,FIAT_CURRENCY,2,AFTER_NUMBER,False,2022-11-21T00:20:46Z,2022-11-21T00:20:46Z
ISK,Icelandic króna,kr,FIAT_CURRENCY,0,BEFORE_NUMBER,False,2022-11-18T17:07:31Z,2022-11-18T17:07:31Z
KZT,Kazakhstani tenge,теңг,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2021-03-26T10:02:52Z,2021-03-26T10:02:52Z
PLN,Polish złoty,zł,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2020-08-27T11:13:22+01:00,2020-08-27T11:13:22+01:00
SAR,Saudi Arabian Riyal,﷼,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2021-07-23T09:22:48+01:00,2022-11-16T11:36:11Z
THB,Thai baht,฿,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-18T23:48:59Z,2022-11-18T23:48:59Z
TND,Tunisian dinar,د.ت,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-10T16:55:23Z,2022-11-10T16:55:23Z
TOP,TOP Points,TOP,FIAT_CURRENCY,2,AFTER_NUMBER,False,2020-08-20T10:36:50+01:00,2020-08-20T10:36:50+01:00
USD,United States dollar,$,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2020-05-21T12:26:20+01:00,2022-08-26T17:03:01+01:00
XAF,CFA franc BEAC,FCFA,FIAT_CURRENCY,0,BEFORE_NUMBER,False,2021-02-09T17:01:17Z,2021-02-09T17:01:17Z
ZMK,Old Zambian kwacha,ZK,FIAT_CURRENCY,0,AFTER_NUMBER,False,2022-08-26T17:01:29+01:00,2022-08-26T17:01:29+01:00
ZMW,Zambian kwacha,ZK,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-21T10:27:34Z,2022-11-21T10:27:34Z
ZWL,Zimbabwe dollar,Z$,FIAT_CURRENCY,2,BEFORE_NUMBER,False,2022-11-20T18:46:55Z,2022-11-20T18:46:55Z
